x,y,state
571.9999999999999,-376.0999999999999,SC
562.6999999999999,-381.3999999999999,SC
562.4499999999999,-381.48749999999995,SC
562.1999999999999,-381.49999999999994,SC
561.9499999999999,-381.48749999999995,SC
561.6999999999999,-381.3999999999999,SC
552.8,-376.3999999999999,SC
544,-381.3999999999999,SC
543.75,-381.45,SC
543.5,-381.5,SC
543.5,-381.5,SC
645.7,-205.7,RI
645.45,-205.6875,RI
645.2,-205.6,RI
635.9000000000001,-200.29999999999998,RI
635.5375000000001,-199.92499999999998,RI
635.4000000000001,-199.39999999999998,RI
635.4000000000001,-189.2,RI
626.5000000000001,-184,RI
626.1375000000002,-183.625,RI
626.0000000000001,-183.1,RI
626.0000000000001,-172.29999999999998,RI
626.1375000000002,-171.77499999999998,RI
626.5000000000001,-171.39999999999998,RI
635.9000000000001,-166.09999999999997,RI
636.1500000000001,-166.0125,RI
636.4000000000001,-165.99999999999997,RI
636.6500000000001,-166.0125,RI
636.9000000000001,-166.09999999999997,RI
646.2,-171.39999999999998,RI
646.5625,-171.77499999999998,RI
646.7,-172.29999999999998,RI
646.7,-182.49999999999997,RI
655.5,-187.69999999999996,RI
655.8625,-188.07499999999996,RI
656,-188.59999999999997,RI
656,-199.39999999999998,RI
655.8625,-199.92499999999998,RI
655.5,-200.29999999999998,RI
646.2,-205.6,RI
645.9875,-205.6875,RI
645.7,-205.7,RI
645.7,-205.7,RI
571.1,-132.8,PA
562.3000000000001,-127.60000000000001,PA
562.3000000000001,-117.4,PA
562.1625,-116.875,PA
561.8000000000001,-116.5,PA
552.4000000000001,-111.2,PA
552.1500000000001,-111.11250000000001,PA
551.9000000000001,-111.10000000000001,PA
551.6500000000001,-111.11250000000001,PA
551.4000000000001,-111.2,PA
542.6000000000001,-116.2,PA
533.8000000000002,-111.2,PA
533.5500000000002,-111.11250000000001,PA
533.3000000000002,-111.10000000000001,PA
533.0500000000002,-111.11250000000001,PA
532.8000000000002,-111.2,PA
524.0000000000002,-116.2,PA
515.1000000000003,-111.2,PA
514.8500000000003,-111.11250000000001,PA
514.6000000000003,-111.10000000000001,PA
514.3500000000003,-111.11250000000001,PA
514.1000000000003,-111.2,PA
505.30000000000024,-116.2,PA
496.5000000000002,-111.2,PA
496.2500000000002,-111.11250000000001,PA
496.0000000000002,-111.10000000000001,PA
495.7500000000002,-111.11250000000001,PA
495.5000000000002,-111.2,PA
486.7000000000002,-116.2,PA
477.80000000000024,-111.2,PA
477.55000000000024,-111.11250000000001,PA
477.30000000000024,-111.10000000000001,PA
477.05000000000024,-111.11250000000001,PA
476.80000000000024,-111.2,PA
468.10000000000025,-116.2,PA
459.5000000000002,-111.3,PA
459.2500000000002,-111.2125,PA
459.0000000000002,-111.2,PA
458.7500000000002,-111.2125,PA
458.5000000000002,-111.3,PA
449.2000000000002,-116.6,PA
448.8375000000002,-116.975,PA
448.7000000000002,-117.5,PA
448.7000000000002,-128.3,PA
448.8375000000002,-128.82500000000002,PA
449.2000000000002,-129.20000000000002,PA
457.7000000000002,-134.20000000000002,PA
457.7000000000002,-144.50000000000003,PA
457.8375000000002,-145.02500000000003,PA
458.2000000000002,-145.40000000000003,PA
467.0000000000002,-150.40000000000003,PA
467.0000000000002,-160.60000000000002,PA
467.1375000000003,-161.12500000000003,PA
467.5000000000002,-161.50000000000003,PA
476.80000000000024,-166.80000000000004,PA
477.05000000000024,-166.88750000000005,PA
477.30000000000024,-166.90000000000003,PA
477.55000000000024,-166.88750000000005,PA
477.80000000000024,-166.80000000000004,PA
486.7000000000002,-161.80000000000004,PA
495.5000000000002,-166.80000000000004,PA
495.7500000000002,-166.88750000000005,PA
496.0000000000002,-166.90000000000003,PA
496.2500000000002,-166.88750000000005,PA
496.5000000000002,-166.80000000000004,PA
505.30000000000024,-161.80000000000004,PA
514.1000000000003,-166.80000000000004,PA
514.3500000000003,-166.88750000000005,PA
514.6000000000003,-166.90000000000003,PA
514.8500000000003,-166.88750000000005,PA
515.1000000000003,-166.80000000000004,PA
524.0000000000002,-161.80000000000004,PA
532.8000000000002,-166.80000000000004,PA
533.0500000000002,-166.88750000000005,PA
533.3000000000002,-166.90000000000003,PA
533.5500000000002,-166.88750000000005,PA
533.8000000000002,-166.80000000000004,PA
542.6000000000001,-161.80000000000004,PA
551.4000000000001,-166.80000000000004,PA
551.6500000000001,-166.88750000000005,PA
551.9000000000001,-166.90000000000003,PA
552.1500000000001,-166.88750000000005,PA
552.4000000000001,-166.80000000000004,PA
561.8000000000001,-161.50000000000003,PA
562.1625,-161.12500000000003,PA
562.3000000000001,-160.60000000000002,PA
562.3000000000001,-150.40000000000003,PA
571.1,-145.40000000000003,PA
571.4625,-145.02500000000003,PA
571.6,-144.50000000000003,PA
571.6,-133.70000000000002,PA
571.4625,-133.175,PA
571.1,-132.8,PA
